"","Protein.Gene","Replicate.Name","Protein.Intensity","Condition","Imputed_data","BiolReplicates"
"119","NUFIP1","HBSSbaf_pooled_PRM2",0.00614908035280008,"HBSS + ConA",FALSE,NA
"120","STBD1","HBSS_pooled_PRM3",0.0431534775923939,"HBSS",FALSE,NA
"121","STBD1","HBSS_pooled_PRM2",0.041516020754305,"HBSS",FALSE,NA
"122","STBD1","HBSS_pooled_PRM1",0.0390016568397495,"HBSS",FALSE,NA
"123","STBD1","20231022_AL_HBSSbaf_pooled_PRM1",0.0438606135446203,"HBSS + ConA",FALSE,NA
"124","STBD1","HBSSbaf_pooled_PRM4",0.0405737083351044,"HBSS + ConA",FALSE,NA
"125","STBD1","HBSSbaf_pooled_PRM3",0.039411432704184,"HBSS + ConA",FALSE,NA
"126","STBD1","HBSSbaf_pooled_PRM2",0.041909403384341,"HBSS + ConA",FALSE,NA
"127","BNIP3L","HBSS_pooled_PRM3",0.0306428958217457,"HBSS",TRUE,NA
"128","BNIP3L","HBSS_pooled_PRM2",0.038499478815378,"HBSS",FALSE,NA
"129","BNIP3L","HBSS_pooled_PRM1",0.0362731702476241,"HBSS",FALSE,NA
"130","BNIP3L","20231022_AL_HBSSbaf_pooled_PRM1",0.0405838690915419,"HBSS + ConA",FALSE,NA
"131","BNIP3L","HBSSbaf_pooled_PRM4",0.045669002286345,"HBSS + ConA",FALSE,NA
"132","BNIP3L","HBSSbaf_pooled_PRM3",0.0409311973384971,"HBSS + ConA",FALSE,NA
"133","BNIP3L","HBSSbaf_pooled_PRM2",0.0388879358929407,"HBSS + ConA",FALSE,NA
"134","BNIP3","HBSS_pooled_PRM3",0.0634956362464281,"HBSS",FALSE,NA
"135","BNIP3","HBSS_pooled_PRM2",0.0549817495913275,"HBSS",FALSE,NA
"136","BNIP3","HBSS_pooled_PRM1",0.0570448384593177,"HBSS",FALSE,NA
"137","BNIP3","20231022_AL_HBSSbaf_pooled_PRM1",0.0654971031747348,"HBSS + ConA",FALSE,NA
"138","BNIP3","HBSSbaf_pooled_PRM4",0.0629046193709658,"HBSS + ConA",FALSE,NA
"139","BNIP3","HBSSbaf_pooled_PRM3",0.0582771212840439,"HBSS + ConA",FALSE,NA
"140","BNIP3","HBSSbaf_pooled_PRM2",0.0728501794978541,"HBSS + ConA",FALSE,NA
"141","CCPG1","HBSS_pooled_PRM3",NA,"HBSS",FALSE,NA
"142","CCPG1","HBSS_pooled_PRM2",NA,"HBSS",FALSE,NA
"143","CCPG1","HBSS_pooled_PRM1",NA,"HBSS",FALSE,NA
"144","CCPG1","20231022_AL_HBSSbaf_pooled_PRM1",NA,"HBSS + ConA",FALSE,NA
"145","CCPG1","HBSSbaf_pooled_PRM4",NA,"HBSS + ConA",FALSE,NA
"146","CCPG1","HBSSbaf_pooled_PRM3",NA,"HBSS + ConA",FALSE,NA
"147","CCPG1","HBSSbaf_pooled_PRM2",NA,"HBSS + ConA",FALSE,NA
"148","NCOA4","HBSS_pooled_PRM3",NA,"HBSS",FALSE,NA
"149","NCOA4","HBSS_pooled_PRM2",NA,"HBSS",FALSE,NA
"150","NCOA4","HBSS_pooled_PRM1",NA,"HBSS",FALSE,NA
"151","NCOA4","20231022_AL_HBSSbaf_pooled_PRM1",NA,"HBSS + ConA",FALSE,NA
"152","NCOA4","HBSSbaf_pooled_PRM4",NA,"HBSS + ConA",FALSE,NA
"153","NCOA4","HBSSbaf_pooled_PRM3",NA,"HBSS + ConA",FALSE,NA
"154","NCOA4","HBSSbaf_pooled_PRM2",NA,"HBSS + ConA",FALSE,NA
